142 ,"Mining and quarrying , n.e.c.",,,
1421 ,Mining of chemical and fertilizer minerals,,,
14211,Mining of native sulphur or pyrites and pyrrhotites valued chiefly for sulphur,,,
14212,Mining of natural phosphate including apatite minerals.,,,
14213,Mining of earth colours (ochre including red oxide).,,,
14214,Mining of fluorspar,,,
14215,Mining of barytes,,,
14219,Mining of potash bearing salts/minerals; borate minerals and other fertiliser and,,,
chemical,minerals n.e.c.,,,
1422 ,"Extraction of salt. [Includes salt mining, crushing and screening and salt",,,
production,"by solar evaporation of sea water, lake brine or other natural brines.]",,,
14221,"Salt mining, quarrying, screening etc.",,,
14222,Production of Salt by evaporating of pans,,,
1429 ,Other mining and quarrying n.e.c.,,,
14291,"Mining of gemstones (agate, diamond, emerald, garnet (gem), jasper, rubby/",,,
saphire,etc.,,,
14292,"Mining and quarrying of abrasive materials (pumice stone, emery, corundum,",,,
garnet,and other natural abrasives),,,
14293,Mining of mica,,,
14294,Mining of natural graphite,,,
14295,Mining of asbestos,,,
14296,"Mining of vermiculite, perlite and chlorites",,,
14297,"Mining of felspar and silica minerals including quartz, quartzite and fuch.",,,
#VALUE!,#VALUE!,,,
14298,Mining of talc/ steatite,,,
14299,"Mining of laterite, diatomite and silicious fossil meals (e.g. diatomite); and other",,,
natural,"fluxes; natural asphalt or bitumen and other mining, not elsewhere",,,
#VALUE!,#VALUE!,,,
151 ,"Production, processing and preservation of meat, fish, fruit vegetables, oils and",,,
#VALUE!,#VALUE!,,,
1511 ,"Production, processing and preserving of meat and meat products.","slaughtering, preparation",,
15111,Mutton,"slaughtering, preparation",,
15112,Beef,"slaughtering, preparation",,
15113,Pork,,,
15114,"Poultry and other slaughtering, preparation",,,
15115,Preservation of meat except by canning,,,
15116,Processing and canning of meat,,,
15117,Rendering and refining of lard and other edible animal fats,,,
15118,Production of flours and meals of meat and meat offals,,,
15119,"Production, processing and preserving of other meat, meat products, n.e.c.",,,
1512 ,Processing and preserving of fish and fish products [fishing and processing of the,,,
catch,aboard the fisher boats are classified in class 0500 whereas activities of,,,
vessels,engaged only processing and preserving are classified under this class],drying of fish,,
15121,Sun,,,
15122,Artificial dehydration of fish and sea food,,,
15123,Radiation preservation of fish and similar food,,,
15124,Processing and canning of fish,,,
15125,Manufacturing of fish meal,,,
15126,Processing and canning of frog legs,,,
15127,Processing and preserving of fish crustacean and similar foods,,,
15129,"Processing & preserving of other fish and fish products, n.e.c.",,,
1513 ,"Processing and preserving of fruit, vegetables and edible nuts",drying of fruit and vegetables,,
15131,Sun,,,
15132,Artificial dehydration of fruit and vegetables,,,
15133,Radiation preservation of fruit and vegetables,,,
15134,"Manufacturing of fruit/vegetable juices and their concentrates, squashes and",,,
#VALUE!,#VALUE!,,,
15135,"Manufacture of sauces, jams, jellies and marmalades",,,
15136,"Manufacture of pickles, chutneys, murabbas etc.",,,
15137,Canning of fruit and vegetables,,,
15138,Manufacture of potato flour & meals and prepared meals of vegetables,,,
15139,Fruit and vegetables preservation n.e.c. (including preservation by freezing and,,,
roasting,of nuts. ),,,
1514 ,Manufacture of vegetable and animal oils and fats [Wet corn milling and,,,
production,of corn oil is classified in Class 1532 and treatment of oils and fats by,,,
chemical,processing is classified in Class 2429],,,
15141,Manufacture of hydrogenated oils and vanaspati ghee etc.,,,
15142,Manufacture of vegetable oils and fats (excluding corn oil),,,
15143,Manufacture of vegetable oils and fats through solvent extraction process,,,
15144,Manufacture of animal oils and fats (Rendering and refining of lard and other,,,
 animal,fats are classified in Class 1511],,,
15145,Manufacture of fish oil,,,
15146,"Manufacture of cakes & meals incl. residual products, e.g. Oleostearin,",,,
#VALUE!,#VALUE!,"defatted flour or meals of oilseeds, oilnuts or kernels",,
15147,Manufacture of non,,,
15149,"Manufacture of other vegetables and animal oil & fats, n.e.c.",,,
152,1520  Manufacture of dairy product [production of raw milk is classified in class 0121],cream powder and condensed milk except baby,,
15201,"Manufacture of milk powder, ice",,,
milk,foods,,,
15202,Manufacture of baby milk foods,,,
15203,"Manufacture of butter, cream, ghee, cheese and khoya etc.",,,
15204,Manufacture of pasteurised milk whether or not in bottles/ polythene packs etc.,,,
(plain,or flavoured),cream and kulfi etc.,,
15205,Manufacture of ice,,,
15209,"Manufacture of other dairy products, n.e.c.",,,
153 ,"Manufacture of grain mill products, starches and starch products, and prepared",,,
animal,feeds,,,
1531 ,Manufacture of grain mill products [Manufacture of potato flour and meal is,,,
classified,in class 1513. Production of corn oil is classified in Class 1532 ],,,
15311,Flour milling,,,
15312,Rice milling,,,
15313,Dal milling,,,
15314,"Processing and grinding of grain other than floor, rice & dal",,,
15315,"Vegetable milling, flour or meal of dried leguminous vegetables of roots or tubers",,,
or,of edible nuts,,,
15316,Manufacture of breakfast foods obtained by roasting or swelling cereal grains,,,
15317,"Manufacture of prepared, blended flour, wet flour for food preparation and dough",,,
for,"bread, cake, etc.",,,
15318,"Manufacture of other readymade mixed powders like idli, gulabjamun etc.",,,
15319,"Other grain milling and processing activities like manufacturing of poha/ muri etc,",,,
#VALUE!,#VALUE!,,,
1532 ,Manufacture of starches and starch products,,,
15321,Manufacture of starch,,,
15322,Manufacture of sago and sago products,,,
15323,"Manufacture of glucose & glucose syrup, maltose",,,
15324,Manufacture of gluten,,,
15325,Manufacture of tapioca substitutes prepared from starch,,,
15326,Manufacture of corn oil,,,
15329,Manufacture of other starch products n.e.c.,,,
1533 ,Manufacture of prepared animal feeds,,,
15331,Manufacture of cattle feed,,,
15332,Manufacture of poultry feed,,,
15339,Manufacture of other animal and bird feed n.e.c.,,,
154 ,Manufacture of other food products,,,
1541 ,Manufacture of bakery products,,,
15411,Bread ma king,,,
 15412,"Manufacture of biscuits, cakes and pastries",,,
15419,Manufacture of other bakery products n.e.c.,,,
1542 ,Manufacture of sugar [manufacture of glucose and other sugars made from,,,
starches,is classified in class 1532],,,
15421,Manufacture and refining of sugar (vacuum pan sugar factories),,,
15422,Manufacture of `gur’from sugar cane,,,
15423,Manufacture of `gur’from other than sugar cane,,,
15424,Manufacture of `khandsari’ sugar from sugar cane,,,
15425,Manufacture of `khandsari’ sugar other than from sugar cane,,,
15426,Manufacture of `boora’ and candy from sugar cane,,,
15427,Manufacture of `boora’and candy other than from sugar cane,,,
15428,Manufacture of molasses,,,
15429,Manufacture of other indigenous sugar cane/sugar beet/palm juice products n.e.c.,,,
1543 ,"Manufacture of cocoa, chocolate and sugar confectionery",,,
15431,Manufacture of cocoa products,,,
15432,Manufacture of sugar confectionery (except sweetmeats),,,
15433,Manufacture of sweetmeats,,,
15434,Manufacture of chewing gum,,,
15435,"Preserving in sugar of fruits, nuts, fruit peals and other parts of plants",,,
15439,"Other activities relating to manufacture of cocoa, chocolate and sugar",,,
confectionery,n.e.c.,,,
1544 ,"15440 Manufacture of macaroni, noodles, couscous and similar farinaceous products",,,
1549 ,Manufacture of other food products n.e.c.,,,
15491,Processing and blending of tea including manufacture of instant tea (activities of,,,
tea,factories associated with tea plantations are classified in class 0113),,,
15492,"Coffee curing, roasting, grinding and blending etc. including manufacture of",,,
instant,"coffee, chicory and other coffee substitutes, essence of concentrates of",,,
#VALUE!,#VALUE!,,,
15493,Processing of edible nuts,,,
15494,Manufacture of malted foods including food for infants and invalids,,,
15495,Grinding and processing of spices,,,
15496,Manufacture of papads appalam and similar food products,,,
15497,"Manufacture of vitaminised high protein flour, frying of dals & other cereals","processed, processed or instant foods n.e.c. except farinaceous",,
15499,Other semi,,,
products,and malted foods and manufacturing activities like manufacture of egg,,,
"powder,",sambar powder etc. (this excludes the activities covered under 15319),,,
155 ,Manufacture of beverages,,,
1551 ,"Distilling, rectifying and blending of spirits; ethyl alcohol production from",,,
fermented,materials,,,
15511,Manufacture of country liquor,,,
15519,"Distilling, rectifying and blending of spirits; ethyl alcohol production from",,,
fermented,"materials n.e.c. (other than soft drinks, mineral water & wine)",,,
1552 ,15520 Manufacture of wines,,,
1553 ,Manufacture of malt liquors and malt,,,
 15531,Manufacture of beer,,,
15532,Manufacture of malt liquors other than beer,,,
15533,Manufacture of malt,,,
15539,Manufacture of malt liquors and malt n.e.c.,,,
1554 ,Manufacture of soft drinks; production of mineral waters,,,
15541,Manufacture of aerated drinks,,,
15542,Manufacture of synthetic flavored concentrates and syrups,,,
15543,Manufacture of mineral water,,,
15544,Manufacture of Ice.,,,
15545,Manufacture of soft drinks,alcoholic beverages n.e.c.,,
15549,Manufacture of other non,,,
160,1600  Manufacture of tobacco products [ tobacco related products are also included,,,
while,preliminary processing of tobacco leaves is classified in class 0111],,,
16001,"Tobacco stemming, redrying etc. of tobacco leaf.",,,
16002,Manufacture of bidi,,,
16003,Manufacture of cigarette and cigarette tobacco,,,
16004,Manufacture of cigars and cheroots,,,
16005,Manufacture of snuff,,,
16006,Manufacture of `zarda’,,,
16007,Manufacture of catechu(katha) and chewing lime,,,
16008,Manufacture of pan masala and related products.,,,
16009,Manufacture of other tobacco products including chewing tobacco n.e.c.,,,
171 ,"Spinning, weaving and finishing of textiles.",,,
1711 ,Preparation and spinning of textile fiber including weaving of textiles (excluding,,,
#VALUE!,#VALUE!,,,
17111,Preparation and spinning of cotton fiber including blended* cotton (please note:,,,
"ginning/pressing,",baling activities are included in Class 0140).,,,
17112,Preparation and spinning of silk fiber including blended* silk.,,,
17113,"Preparation and spinning of wool, including other animal hair and blended* wool",,,
including,other animal hair.,made fiber including blended* man,made fiber.,
17114,Preparation and spinning of man,,,
17115,"Weaving, manufacture of cotton and cotton mixture fabrics.",,,
17116,"Weaving, manufacture of silk and silk mixture fabrics.",,,
17117,"Weaving, manufacture of wool and wool mixture fabrics.",made fiber and man,made mixture fabrics.,
17118,"Weaving, manufacturing of man",,,
17119,"Preparation, spinning and weaving of jute, mesta and other natural fibers including",,,
1712 ,Finishing of textile excluding khadi/handloom (This class includes finishing of,,,
textiles,"of Class 1711 by operations such as bleaching, dyeing, calendering,",,,
"napping,",shrinking or printing. No distinction is to be made between these,,,
activities,carried out on a fee or contract basis or by purchasing the material and,,,
selling,the finished products).,,,
17121,Finishing of cotton and blended cotton textiles.,,,
17122,Finishing of silk and blended silk textiles.,,,
17123,Finishing of wool and blended wool textiles.,made and blended man,made textiles.,
17124,Finishing of man,,,
17125,"Finishing of jute, mesta and other vegetable textiles fabrics.",,,
17126,Activity related to screen printing,,,
17129,Other activities relating to finishing of textile n.e.c.,,,
1713 ,Preparation and spinning of textile fiber including weaving of textiles,,,
#VALUE!,#VALUE!,,,
17131,Cotton spinning through charkha,,,
17132,Weaving of cotton khadi,,,
17133,Weaving of cotton textiles on handlooms,,,
17134,Spinning of wool and silk through charkha,,,
17135,Weaving of woollen and silk khadi,,,
17136,Weaving of wool and silk on handlooms,,,
17137,Weaving of artificial/synthetic textile fabrics on handlooms,,,
17139,Preparation and spinning of textile fibre including weaving of textiles,,,
"(khadi/handloom),",n.e.c.,,,
1714 ,Finishing of textiles (khadi/handloom),,,
17141,"Bleaching, dyeing and finishing of cotton cloth and yarn by hand",,,
17142,Printing of cloth by hand,,,
17143,"Bleaching, dyeing and finishing of woollen textiles by hand",,,
17144,"Bleaching, dyeing, printing and finishing of silk textiles by hand",,,
17145,"Bleaching, dyeing, printing and finishing of artificial/synthetic textile fabrics by",,,
#VALUE!,#VALUE!,,,
17149,"Finishing of textiles (khadi/handloom), n.e.c.",,,
172 ,Manufacture of other textiles,"up textile articles, except apparel",,
1721 ,Manufacture of made,covers and furnishings.,,
17211,"Manufacture of curtains, bed",,,
17212,"Manufacture of crocheted made up textile goods, except apparel",,,
17213,Manufacture of mosquito nets,,,
17214,"Manufacture of bedding, quilts, pillows, cushions and sleeping bags (manufacture",,,
of,coir foam mattresses and pillows is classified in class 3610),,,
17215,Manufacture of tarpaulin,,,
17219,Manufacture of other made up textile goods except apparel n.e.c.,,,
1722 ,Manufacture of carpet and rugs other than by hand [manufacture of linoleum and,,,
other,hard surface floor coverings is classified in class 3699],,,
17221,Manufacture of blankets shawls,,,
17222,Manufacture of cotton carpets,,,
17223,Manufacture of woollen carpets,,,
17224,Manufacture of silk carpets,,,
 17225,"Manufacture of durries, druggets and rugs",,,
17226,"Manufacture of carpets, rugs and other covering of jute, mesta and coir",,,
17229,"Manufacture of other floor coverings (including felt) of textile, sannhemp and",,,
other,kindred fibres n.e.c.,,,
1723 ,"Manufacture of cordage, rope, twine and netting",,,
17231,"Manufacture of thread, including thread ball making",,,
17232,Manufacture of jute/hemp rope and cordage,,,
17233,Manufacture of coir rope and cordage,,,
17234,Manufacture of other rope and cordage other of jute/mesta and coir,,,
17235,Manufacture of nets(except mosquito net),,,
17236,"Manufacture of tapes, newar and wicks",,,
17239,"Manufacture of other cordage, rope nets etc n.e.c.",,,
1724 ,"Embroidery work, zari work and making of ornamental trimmings by hand",,,
17241,Embroidery work by hand,,,
17242,Zari work by hand,,,
17243,Making of laces and fringes by hand,,,
17249,"Making of other ornamental trimmings by hand, n.e.c.",,,
1725 ,"Manufacture of blankets, shawls, carpets, rugs and other similar textile products",,,
by,hand,,,
17251,Manufacture of blankets and shawls by hand,,,
17252,Manufacture of cotton carpets by hand,,,
17253,Manufacture of woollen carpets by hand,,,
17254,Manufacture of silk carpets by hand,,,
17255,"Manufacture of durries, druggets and rugs by hand",,,
17259,"Manufacture of blankets, shawls, carpets, rugs and other similar textile products",,,
by,"hand, n.e.c.",,,
1729 ,Manufacture of other textiles n.e.c.,,,
17291,Embroidery work and making of laces and fringes other than by hand,,,
17292,Zari work and making of other ornamental trimmings other than by hand,,,
17293,Manufacture of linoleum and similar products,,,
17294,Manufacture of gas mantles,up canvas goods such as tents and sails etc.,,
17295,Manufacture of made,,,
17296,Manufacture of wadding of textile materials and articles of wadding such as,,,
sanitary,towels and tampons,,,
17297,Manufacture of metallised yarn or gimped yarn; rubber thread or cord covered,,,
with,"textile material; Textile yarn or strip, impregnated, covered or sheathed with",,,
rubber,or plastics,,,
17298,Manufacture of waterproof textile excluding Tarpaulin.,,,
17299,Manufacture of other textiles/textile products n.e.c.,,,
173,1730  Manufacture of knitted and crocheted fabrics and articles,,,
17301,Manufacture of knitted and crocheted cotton textile products,,,
17302,Manufacture of knitted and crocheted woolen textile products,,,
17303,Manufacture of knitted and crocheted synthetic textile products,,,
17309,Manufacture of knitted and crocheted textile products n.e.c.,,,
181,"1810  Manufacture of wearing apparel, except fur apparel [this class includes",,,
manufacture,of wearing apparel made of material not made in the same unit.,,,
Both,regular and contract activities are included],,,
18101,Manufacture of all types of textile garments and clothing accessories,,,
18102,Manufacture of rain coats of waterproof textile fabrics or plastic sheetings,,,
18103,Manufacture of hats and caps from waterproof,,,
18104,Manufacture of wearing apparel of leather and substitutes of leather,,,
18105,Custom Tailoring,,,
18109,Manufacture of wearing apparel n.e.c.,,,
182,1820  Dressing and dyeing of fur; manufacture of articles of fur,,,
18201,"Scraping, curying, tanning, bleaching and dyeing of fur and other pelts for the",,,
#VALUE!,#VALUE!,,,
18202,Manufacture of wearing apparel of fur and pelts,,,
18203,Manufacture of fur and skin rugs and other similar articles,,,
18204,Embroidering and embossing of leather articles,,,
18205,Stuffing of animals’ and birds’ hides,,,
18209,Manufacture of other leather and fur products n.e.c.,,,
191 ,"Tanning and dressing of leather, manufacture of luggage handbags, saddlery &",,,
#VALUE!,#VALUE!,,,
1911 ,Tanning and dressing of leather,,,
19111,Flaying and curing of raw hides and skins,,,
19112,Tanning and finishing of sole leather,,,
19113,Tanning and finishing of industrial leather,,,
19114,Vegetable tanning of light leather,,,
19115,Crome tanning of leather,,,
19116,"Finishing of upper leather, lining leather and garment leather etc.",,,
19119,"Other tanning, curing, finishing, embossing and japanning of leather n.e.c.",,,
1912 ,"Manufacture of luggage, handbags, and the like, saddlery and harness",,,
19121,"Manufacture of travel goods like suitcases, bags and holdalls etc.",,,
19122,"Manufacture of purses and other ladies’handbags, artistic leather presented",,,
articles,and novelties etc.,,,
19123,Manufacture of saddlery and harness,,,
19129,"Manufacture of other consumer goods of leather and substitutes of leather, n.e.c.",,,
192,1920  Manufacture of footwear.,,,
19201,Manufacture of footwear (excluding repair) except of vulcalized or moulded,,,
rubber,"or plastic. This class includes manufacture of leather shoes, leather",cum,rubber/plastic cloth sandals and chappals,
sandals,"and chappals, leather",,,
made,by and or by any process.,,,
19202,Manufacture of footwear made primarily of vulcalized or moulded rubber and,,,
plastic.,"This class includes manufacture of rubber footwear, plastic & PVC,",cum,rubber/plastic footwear etc. including sports footwear.,
canvas,,,,
19209,Manufacture of other footwear n.e.c.,,,
201,2010  Saw milling and planing of wood,,,
20101,Sawing and planing of wood (other than plywood),,,
20102,"Manufacture of unassembled wood flooring, including parquet flooring",,,
20103,Manufacture of railway sleepers,,,
20109,Activities relating to saw milling and planning of wood n.e.c.,,,
202 ,"Manufacture of products of wood, cork, straw and plaiting materials",,,
2021 ,"Manufacture of veneer sheets; manufacture of plywood, laminboard, particle",,,
board,and other panels and boards,,,
20211,Manufacture of plywood and veneer sheets,,,
20212,Manufacture of flush doors and other boards or panels,,,
20213,"Manufacture of particle board, fiber board, incl. Densified wood",,,
20219,Manufacture of other plywood products n.e.c.,,,
2022 ,Manufacture of builders’ carpentry and joinery,,,
20221,"Manufacture of structural wooden goods (including treated timber) such as beams,",,,
"posts,","doors and windows (excluding hewing and rough shaping of poles, bolts",,,
and,other wood material which is classified under logging),,,
20222,Manufacture of prefabricated buildings predominantly of wood.,,,
20229,Manufacture of builder’s carpentary and joinery n.e.c.,,,
2023 ,Manufacturing of wooden containers,,,
20231,"Manufacture of wooden boxes, barrels etc. (except plywood)",,,
20232,Manufacture of plywood chests,,,
20233,"Manufacture of market basketry, grain storage bins, ration baskets including",up from rachis (toddy tree) and similar product made from bamboo,,
baskets,made,,,
and,reed etc.,,,
20239,Manufacture of other wooden containers and products made entirely or mainly of,,,
"cane,","rattan, bamboo, willow, fibres, leaves and grass n.e.c.",,,
2029 ,"Manufacture of other products of wood, manufacture of articles of cork, straw and",,,
plaiting,materials,,,
20291,Manufacture of wooden industrial goods,,,
20292,Manufacture of cork and cork products,,,
20293,"Manufacture of bamboo and cane article and fixture of bamboo, cane, reed and",,,
grass,products (thatching etc.),,,
20294,Manufacture of broomsticks,,,
20295,Manufacture of wooden agricultural implements,,,
